"","Site","fullT.mean.x","fullS.mean","fullT.var","fullS.var","winterT.mean","winterS.mean","winterT.var","winterS.var","fullT.mean.y","summerS.mean","summerT.var","summerS.var","Fall DO.mg.L_mean","Fall DO.mg.L_var","Fall pH_mean","Fall pH_var","Fall Salinity.ppt_mean","Fall Salinity.ppt_var","Fall Temp..C_mean","Fall Temp..C_var","Spring DO.mg.L_mean","Spring DO.mg.L_var","Spring pH_mean","Spring pH_var","Spring Salinity.ppt_mean","Spring Salinity.ppt_var","Spring Temp..C_mean","Spring Temp..C_var","Spring-pre DO.mg.L_mean","Spring-pre DO.mg.L_var","Spring-pre pH_mean","Spring-pre pH_var","Spring-pre Salinity.ppt_mean","Spring-pre Salinity.ppt_var","Spring-pre Temp..C_mean","Spring-pre Temp..C_var","Summer DO.mg.L_mean","Summer DO.mg.L_var","Summer pH_mean","Summer pH_var","Summer Salinity.ppt_mean","Summer Salinity.ppt_var","Summer Temp..C_mean","Summer Temp..C_var","Summer-pre DO.mg.L_mean","Summer-pre DO.mg.L_var","Summer-pre pH_mean","Summer-pre pH_var","Summer-pre Salinity.ppt_mean","Summer-pre Salinity.ppt_var","Summer-pre Temp..C_mean","Summer-pre Temp..C_var","Winter DO.mg.L_mean","Winter DO.mg.L_var","Winter pH_mean","Winter pH_var","Winter Salinity.ppt_mean","Winter Salinity.ppt_var","Winter Temp..C_mean","Winter Temp..C_var"
"1","CM1",22.5936363636364,27.8963636363636,36.5304482776483,14.0407115255115,13.7,26.7,4.4952380952381,5.98857142857143,29.2433333333333,31.0033333333333,0.873150877192982,14.2895719298246,5.76666666666667,4.24333333333333,7.6,0.03,26.5,1.29,22.5,46.51,6.06666666666667,1.84333333333333,7.4,0.0799999999999998,28.0333333333333,8.01333333333333,22.3,14.61,6.23333333333333,0.523333333333333,7.6,0,23.0666666666667,13.5833333333333,20.4,17.64,4.5,NA,7.7,NA,35.5,NA,30,NA,4.93333333333333,0.363333333333333,7.46666666666667,0.0133333333333332,27.5666666666667,5.64333333333334,28.4333333333333,0.543333333333332,8.1,0.52,7.7,0.0300000000000001,27.1333333333333,10.6633333333333,14.2666666666667,6.92333333333334
"2","CM2",22.8068181818182,28.1731818181818,37.1465060865061,10.6017676249676,13.775,27.525,4.61904761904762,3.3847619047619,29.3583333333333,30.7183333333333,0.90140350877193,13.7718035087719,5.7,3.36,7.63333333333333,0.0233333333333333,26.2666666666667,0.223333333333334,22.8,51.19,6.1,1.81,7.3,0.0800000000000001,27.9,7.77,22.5666666666667,14.8633333333333,6.6,0.91,7.6,0,24.5333333333333,9.66333333333333,20.9666666666667,20.7233333333333,4.8,NA,7.9,NA,35.4,NA,29.7,NA,5.16666666666667,1.24333333333333,7.56666666666667,0.0133333333333334,27.3666666666667,5.69333333333334,28.6666666666667,1.04333333333333,7.9,0.79,7.66666666666667,0.0133333333333334,27.9666666666667,5.49333333333333,14.4,6.75
"3","CM3",22.7368181818182,28.1472727272727,35.6999784511784,9.61989453509453,13.85,27.475,4.34031746031746,1.95746031746032,29.3183333333333,30.3566666666667,0.820898245614035,14.4707929824561,6.03333333333333,3.84333333333333,7.63333333333333,0.0233333333333333,26.7333333333333,0.263333333333333,22.6,47.29,5.96666666666667,1.21333333333333,7.4,0.0799999999999998,27.2666666666667,10.3233333333333,22.5666666666667,12.4033333333333,6.6,0.57,7.6,0,25.5333333333333,13.8133333333333,20.8666666666667,16.0033333333333,4.7,NA,7.7,NA,35.3,NA,29.8,NA,5.46666666666667,0.603333333333333,7.6,0.01,26.9666666666667,6.45333333333333,28.6333333333333,0.743333333333333,8.36666666666667,0.463333333333334,7.76666666666667,0.00333333333333331,27.4333333333333,3.84333333333333,14.5333333333333,5.74333333333334
"4","JC1",22.1045454545455,26.4318181818182,38.7541673141673,13.5898679098679,12.8,25.3,6.12571428571428,3.01714285714286,28.9666666666667,29.6666666666667,0.672561403508773,8.34245614035087,5.5,3.81,7.26666666666667,0.0233333333333334,25.2333333333333,1.96333333333333,21.8,45.93,5.56666666666667,3.52333333333333,7.15,0.125,25.7666666666667,5.50333333333333,21.7333333333333,11.8233333333333,6.2,2.01,7.2,0.07,20.7666666666667,12.6533333333333,20.2,20.52,4.3,NA,7.6,NA,33.5,NA,29.5,NA,4.83333333333333,1.14333333333333,7,0.07,26.9666666666667,1.84333333333334,28.2,0.130000000000001,8.26666666666667,0.703333333333334,7.36666666666667,0.123333333333333,25.4666666666667,5.77333333333334,13.7666666666667,6.45333333333333
"5","JC2",22.3772727272727,26.4136363636364,38.7427298627299,15.6811810411811,13.175,25.525,4.24825396825397,3.65904761904762,29.2833333333333,30.0166666666667,0.830035087719299,9.72603508771929,5.86666666666667,6.81333333333333,7.46666666666667,0.0233333333333333,24.5,0.13,22.1666666666667,48.0133333333333,5.6,3.04,7.2,0.18,26.2333333333333,7.41333333333333,22.0333333333333,15.7033333333333,6.3,0.91,7.43333333333333,0.00333333333333331,20.0333333333333,9.26333333333333,20.3,19.11,3.9,NA,7.3,NA,33.8,NA,29.4,NA,4.7,1.21,7.46666666666667,0.0133333333333332,27.0666666666667,2.12333333333334,28.5333333333333,0.413333333333333,8.3,0.61,7.53333333333333,0.0633333333333333,25.7333333333333,6.94333333333333,13.8333333333333,5.76333333333334
"6","JC3",22.3136363636364,26.5954545454545,38.3218648018648,17.6086402486403,13.075,25.65,3.58285714285714,3.64952380952381,29.15,29.8166666666667,0.821052631578946,12.8014035087719,6.33333333333333,5.54333333333333,7.56666666666667,0.0233333333333333,25.8,1.48,22.2,44.59,6.13333333333333,2.64333333333333,7.35,0.0449999999999999,26.5666666666667,7.36333333333333,21.9666666666667,14.3333333333333,6.63333333333333,0.643333333333334,7.53333333333333,0.00333333333333331,19.5,15.19,19.9666666666667,19.4433333333333,4.8,NA,7.6,NA,34.2,NA,29.6,NA,5.13333333333333,0.163333333333333,7.56666666666667,0.0133333333333334,26.6,5.88,28.3666666666667,0.503333333333332,8.43333333333333,0.443333333333333,7.33333333333333,0.443333333333334,26.0666666666667,6.14333333333334,13.7,4.71
"7","LO1",22.4604761904762,28.0993548387097,46.9302153450362,8.00285964790445,13.0153846153846,26.9230769230769,5.72141157811261,5.42498017446471,29.8411764705882,29.1375,7.91936081519222,7.58770920502093,5.66666666666667,0.253333333333333,7.46666666666667,0.0133333333333332,26.6,2.73,24.3,14.53,6.03333333333333,1.24333333333333,7.43333333333333,0.143333333333333,29.4333333333333,0.103333333333334,21.0666666666667,18.7633333333333,6.96666666666667,1.04333333333333,7.5,0.03,22.3333333333333,2.17333333333333,19.6333333333333,19.3433333333333,4.4,NA,7.7,NA,30.9,NA,29.3,NA,5.13333333333333,0.203333333333333,7.4,0.01,26.1333333333333,3.16333333333333,28.2333333333333,4.57333333333334,8.2,2,7.55,0.00499999999999996,27.1,0.320000000000001,13.4,9.68
"8","LO2",22.5079365079365,26.8728571428571,42.7141975383373,10.1326983958838,13.1384615384615,25.8384615384615,6.00083267248216,7.6616574147502,29.4352941176471,27.6411764705882,1.21292264937471,11.3516442797592,5.33333333333333,0.443333333333333,7.36666666666667,0.0133333333333334,24,8.23,24.5333333333333,14.7633333333333,6.16666666666667,1.14333333333333,7.5,0.00999999999999993,29,0.13,21.2666666666667,17.7633333333333,7.03333333333333,0.663333333333334,7.46666666666667,0.0433333333333334,22.1333333333333,3.44333333333333,20.4,19.93,4.2,NA,7.6,NA,30.3,NA,29.4,NA,5.03333333333333,0.00333333333333331,7.3,0.01,24.2,8.29,28.5666666666667,3.84333333333333,7.95,1.805,7.5,0.0199999999999999,25.7,1.62,13.75,9.245
"9","LO3",22.5066666666667,26.4884126984127,42.7040116525424,12.6091087066182,13.2153846153846,25.5538461538462,5.97656621728787,9.20198255352894,29.4529411764706,27.3117647058824,1.17297359888837,13.731357109773,5.43333333333333,0.173333333333334,7,0.03,23.7333333333333,7.86333333333333,24.5666666666667,14.9733333333333,6.06666666666667,0.583333333333333,7.43333333333333,0.0433333333333332,28.9666666666667,0.203333333333333,21.2666666666667,17.6033333333333,7.1,0.67,7.33333333333333,0.0633333333333333,19.4666666666667,11.7433333333333,20.2333333333333,16.9733333333333,4.1,NA,7.4,NA,30.3,NA,29.3,NA,5.5,0.91,7.1,0.07,23.5666666666667,9.22333333333334,28.5666666666667,4.08333333333333,7.8,2.42,7.3,0.02,25.65,0.604999999999998,13.8,8.82
"10","MI1",21.7154545454545,24.5809090909091,44.2730409306333,17.1677413528652,14.05,23.5375,8.1606274509804,16.3524705882353,29.1235294117647,26.1411764705882,1.94424137182548,5.51800303885392,4.73333333333333,4.46333333333333,7.5,0.0400000000000001,22.6,2.92,21.7333333333333,40.8933333333333,5.36666666666667,3.05333333333333,7.6,0,22.5,7.86999999999999,23.5666666666667,14.4533333333333,6.86666666666667,2.77333333333333,7.56666666666667,0.00333333333333331,20.7333333333333,13.1733333333333,20.0666666666667,36.4033333333333,4.3,NA,7.6,NA,28.7,NA,29,NA,4.86666666666667,1.10333333333333,7.46666666666667,0.0133333333333332,24.3333333333333,0.583333333333333,28.8,0.429999999999998,8.55,0.405,7.66666666666667,0.00333333333333337,24.6,4.12,13.7333333333333,21.3333333333333
