Oyster ID,pea crab,blister.number,sponge.perc
RM1LQ1,0,2,0
RM1LQ2,0,0,0
RM1LQ3,0,0,0
RM1LQ4,0,1,0
RM1LQ5,1,0,0
RM1LQ6,0,0,0
RM1LQ7,0,0,0
RM1LQ8,1,2,0
RM1LQ9,0,0,0
RM1LQ10,0,3,0
RM1LQ11,0,1,0
RM1LQ12,0,2,0
RM1LQ13,0,7,1
RM1LQ14,1,7,0
RM1LQ15,0,1,0
RM1LQ16,0,3,0
RM1LQ17,0,0,0
RM1LQ18,0,0,0
RM1LQ19,0,0,0
RM1LQ20,0,0,0
RM1LQ21,0,1,0
RM1LQ22,0,1,0
RM1LQ23,0,1,1
RM1LQ24,0,2,0
RM1LQ25,0,0,0
MR1LQ1,0,3,0
MR1LQ2,0,2,0
MR1LQ3,0,1,0
MR1LQ4,0,4,0
MR1LQ5,0,0,0
MR1LQ6,0,4,0
MR1LQ7,0,1,0
MR1LQ8,0,6,0
MR1LQ9,0,4,0
MR1LQ10,0,8,0
MR1LQ11,0,1,0
MR1LQ12,0,0,0
MR1LQ13,0,3,0
MR1LQ14,0,3,0
MR1LQ15,0,1,0
MR1LQ16,0,0,0
MR1LQ17,0,4,0
MR1LQ18,0,5,0
MR1LQ19,0,5,0
MR1LQ20,0,3,0
MR1LQ21,0,9,0
MR1LQ22,0,3,0
MR1LQ23,0,6,0
MR1LQ24,0,1,0
MR1LQ25,0,1,0
JC2LQ1,0,0,0
JC2LQ2,0,0,0
JC2LQ3,0,1,0
JC2LQ4,0,0,0
JC2LQ5,0,2,0
JC2LQ6,0,0,0
JC2LQ7,0,0,0
JC2LQ8,0,0,0
JC2LQ9,0,0,0
JC2LQ10,0,0,0
JC2LQ11,0,0,0
JC2LQ12,0,0,0
JC2LQ13,0,0,0
JC2LQ14,0,0,1
JC2LQ15,0,0,0
JC2LQ16,0,0,0
JC2LQ17,0,0,0
JC2LQ18,0,0,0
JC2LQ19,0,0,0
JC2LQ20,0,0,0
JC2LQ21,0,0,0
JC2LQ22,0,0,0
JC2LQ23,0,0,0
JC2LQ24,0,0,0
JC2LQ25,0,0,0
MI2LQ1,0,2,0
MI2LQ2,0,0,0
MI2LQ3,0,0,0
MI2LQ4,0,0,0
MI2LQ5,0,0,0
MI2LQ6,0,1,0
MI2LQ7,0,3,0
MI2LQ8,0,0,0
MI2LQ9,0,0,0
MI2LQ10,0,0,0
MI2LQ11,0,0,0
MI2LQ12,0,1,0
MI2LQ13,0,4,0
MI2LQ14,0,0,0
MI2LQ15,0,0,0
MI2LQ16,0,6,0
MI2LQ17,0,0,0
MI2LQ18,0,1,0
MI2LQ19,0,0,0
MI2LQ20,0,0,0
MI2LQ21,0,0,0
MI2LQ22,0,0,0
MI2LQ23,0,5,0
MI2LQ24,0,0,0
MI2LQ25,0,0,0
TB1LQ1,0,0,0
TB1LQ2,0,0,0
TB1LQ3,0,0,0
TB1LQ4,0,0,0
TB1LQ5,0,0,0
TB1LQ6,0,0,0
TB1LQ7,0,0,0
TB1LQ8,0,0,0
TB1LQ9,0,0,0
TB1LQ10,0,0,0
TB1LQ11,0,0,0
TB1LQ12,0,2,0
TB1LQ13,0,0,0
TB1LQ14,0,0,0
TB1LQ15,0,0,0
TB1LQ16,0,1,0
TB1LQ17,0,0,0
TB1LQ18,0,0,0
TB1LQ19,0,0,0
TB1LQ20,0,0,0
TB1LQ21,0,0,0
TB1LQ22,0,0,0
TB1LQ23,0,0,0
TB1LQ24,0,0,0
TB1LQ25,0,0,0
LO3LQ1,0,0,0
LO3LQ2,0,0,0
LO3LQ3,0,0,0
LO3LQ4,0,0,0
LO3LQ5,0,0,0
LO3LQ6,0,0,0
LO3LQ7,0,0,0
LO3LQ8,0,1,0
LO3LQ9,0,0,0
LO3LQ10,0,0,0
LO3LQ11,0,0,0
LO3LQ12,0,0,0
LO3LQ13,0,0,0
LO3LQ14,0,0,0
LO3LQ15,0,0,0
LO3LQ16,0,0,0
LO3LQ17,0,0,0
LO3LQ18,0,0,0
LO3LQ19,0,0,0
LO3LQ20,0,3,0
LO3LQ21,0,0,0
LO3LQ22,0,0,0
LO3LQ23,0,0,0
LO3LQ24,0,0,0
LO3LQ25,0,0,0
CM3LQ1,0,0,0
CM3LQ2,0,0,0
CM3LQ3,0,0,0
CM3LQ4,0,0,0
CM3LQ5,0,0,0
CM3LQ6,0,0,0
CM3LQ7,0,2,0
CM3LQ8,0,0,0
CM3LQ9,0,0,0
CM3LQ10,0,0,0
CM3LQ11,0,0,0
CM3LQ12,0,1,0
CM3LQ13,0,1,0
CM3LQ14,0,0,0
CM3LQ15,0,0,0
CM3LQ16,0,0,0
CM3LQ17,0,0,0
CM3LQ18,0,0,0
RM3LQ1,1,0,0
RM3LQ2,0,1,0
RM3LQ3,0,0,0
RM3LQ4,0,0,0
RM3LQ5,0,1,0
RM3LQ6,0,3,0
RM3LQ7,0,0,0
RM3LQ8,0,2,0
RM3LQ9,0,0,1
RM3LQ10,0,3,0
RM3LQ11,0,1,0
RM3LQ12,0,1,0
RM3LQ13,0,1,0
RM3LQ14,1,1,0
RM3LQ15,0,0,0
RM3LQ16,0,1,0
RM3LQ17,0,0,0
RM3LQ18,0,0,0
RM3LQ19,0,0,0
RM3LQ20,0,0,0
RM3LQ21,1,0,0
RM3LQ22,0,0,0
RM3LQ23,0,0,0
RM3LQ24,0,0,0
RM3LQ25,1,0,0
MI1LQ1,0,0,0
MI1LQ2,0,0,0
MI1LQ3,0,4,0
MI1LQ4,0,0,0
MI1LQ5,0,4,0
MI1LQ6,0,0,0
MI1LQ7,0,0,0
MI1LQ8,0,1,0
MI1LQ9,0,0,0
MI1LQ10,0,0,0
MI1LQ11,0,0,0
MI1LQ12,0,2,0
MI1LQ13,0,1,0
MI1LQ14,0,2,0
MI1LQ15,0,0,0
MI1LQ16,0,0,0
MI1LQ17,0,0,0
MI1LQ18,0,3,0
MI1LQ19,0,0,0
MI1LQ20,0,0,0
MI1LQ21,0,0,0
MI1LQ22,0,0,0
MI1LQ23,0,0,0
MI1LQ24,0,0,0
MI1LQ25,0,0,0
SB3LQ1,0,0,0
SB3LQ2,0,0,0
SB3LQ3,0,0,0
SB3LQ4,0,0,0
SB3LQ5,0,0,0
SB3LQ6,0,0,0
SB3LQ7,0,0,0
SB3LQ8,0,0,0
SB3LQ9,0,0,0
SB3LQ10,0,0,0
SB3LQ11,0,0,0
SB3LQ12,0,0,0
SB3LQ13,0,0,0
SB3LQ14,0,0,0
SB3LQ15,0,0,0
SB3LQ16,0,3,0
SB3LQ17,0,0,0
SB3LQ18,0,0,0
SB3LQ19,0,0,0
SB3LQ20,0,0,0
SB3LQ21,0,0,0
SB3LQ22,0,0,0
SB3LQ23,0,0,0
JC1LQ1,0,0,0
JC1LQ2,0,0,0
JC1LQ3,0,1,0
JC1LQ4,0,0,0
JC1LQ5,0,3,0
JC1LQ6,0,1,0
JC1LQ7,0,1,0
JC1LQ8,0,1,0
JC1LQ9,0,0,0
JC1LQ10,0,0,0
JC1LQ11,0,0,0
JC1LQ12,0,0,0
JC1LQ13,0,2,0
JC1LQ14,0,1,0
JC1LQ15,0,0,0
JC1LQ16,0,0,0
JC1LQ17,0,1,0
JC1LQ18,0,2,0
JC1LQ19,0,0,0
JC1LQ20,0,0,0
JC1LQ21,0,0,0
JC1LQ22,0,1,0
JC1LQ23,0,0,0
JC1LQ24,0,0,0
JC1LQ25,0,0,0
CM2LQ1,0,0,0
CM2LQ2,0,0,0
CM2LQ3,0,0,0
CM2LQ4,0,0,0
CM2LQ5,0,0,0
CM2LQ6,0,0,0
CM2LQ7,0,0,0
CM2LQ8,0,0,0
CM2LQ9,0,0,0
CM2LQ10,0,0,0
CM2LQ11,0,2,0
CM2LQ12,0,0,0
CM2LQ13,0,0,0
CM2LQ14,0,1,0
CM2LQ15,0,0,0
CM2LQ16,0,0,0
CM2LQ17,0,0,0
CM2LQ18,0,0,0
CM2LQ19,0,0,0
CM2LQ20,0,0,0
CM2LQ21,0,0,0
CM2LQ22,0,0,0
CM2LQ23,0,0,0
CM2LQ24,0,0,0
CM2LQ25,0,0,0
TB3LQ1,0,0,0
TB3LQ2,0,3,0
TB3LQ3,0,0,0
TB3LQ4,0,0,0
TB3LQ5,0,0,0
TB3LQ6,0,7,0
TB3LQ7,0,1,0
TB3LQ8,0,0,0
TB3LQ9,0,0,0
TB3LQ10,0,0,0
TB3LQ11,0,0,0
TB3LQ12,0,0,0
TB3LQ13,0,0,0
TB3LQ14,0,1,0
TB3LQ15,0,3,0
TB3LQ16,0,0,0
TB3LQ17,0,1,0
TB3LQ18,0,1,0
