Cluster,Site,Latitude,Longitude,Collection Date,Distance from marsh edge (cm),Quadrat Depth (cm),Rugosity.ds,Rugosity,Rugosity location,Oyster Height 1 (cm),Oyster Height 2 (cm),Oyster Height 3 (cm),DO (mg/L),Salinity (ppt),Temp (°C),Landscape Context,Notes,Data entry
Romerly Marsh,RM1,31.92759,-81.01943,6/9/22,0,,2.3,0.425,Above,8.2,16.4,17.2,0.42,27.8,28.4,"20-30% slope, muddy","Oyster drill eggs, quadrat deployed 0.9 m from edge, 2 spat sticks deployed",SM
Romerly Marsh,RM2,31.92879,-80.99755,6/9/22,0,24.5,2.6,0.35,Above,35.4,25.9,26,0.29,27.9,28.4,20% slope,2 spat sticks deployed,SM
Romerly Marsh,RM3,31.92217,-80.97818,6/9/22,0,16.5,2.2,0.45,Above,20.9,20.2,19.6,0.38,29.3,28.6,"20% slope, muddy, sparser reef with less basal shell, ground H2O leaching ~2m to left",2 spat sticks deployed,SM
Tybee,TB1,32.02171,-80.94308,6/10/22,0,,3.25,0.1875,,19.5,14.8,17.9,0.37,23.8,27.9,"Continuous reef with lots of dead shell, less mud","Bottom 15% of left corner of quadrat dead, 2 spat sticks",SM
Tybee,TB2,32.01721,-80.92203,6/10/22,0,,3.3,0.175,,9.4,19,8.2,0.33,25.8,27.9,"Continuous reef, lots of singular shell, freshwater discharge ~5m left",2 spat sticks,SM
Tybee,TB3,31.98741,-80.91755,6/10/22,25,15,3,0.25,Below,29,26.4,25.1,0.38,27.6,28.1,"Beach ~10m to right, heavily eroded peat bank above, 1/2 foot escarpment, sparse reef at edge of marsh, 3/4 density",2 spat sticks,SM
Camden,CM1,30.86197,-81.49571,6/12/22,28,16,3.4,0.15,Below,2.2,15.5,16.8,0.27,32.6,30.2,"Near intercoastal channel on corner of creek, reef patchy, Spartina finger down next to quadrat, reef cemented in with deep rooted shells",,SM
Camden,CM2,30.85055,-81.47381,6/12/22,37,9,3.14,0.215,Below,14.2,10.8,25,0.28,32.2,29.4,"Sparse oysters, rooted deep into mud, oyster reef stops ~100m up creek",,SM
Camden,CM3,30.85826,-81.54105,6/12/22,13,13,3.34,0.165,Below,18,28.3,35,0.28,32.2,30,"Lots of mud flat on both sides, healthy looking reef","15% of quadrat is mud, mostly at bottom half",SM
Glynn-Jointer Creek,JC1,31.08752,-81.48679,6/13/22,21,6,2.44,0.39,Right,34.5,26.5,23.6,0.3,30.1,29.2,"Marsh pond 3m behind + to right, outflow next to reef",,SM
Glynn-Jointer Creek,JC2,31.0836,-81.50299,6/13/22,0,13.5,2.71,0.3225,Below,28.2,26.1,24.3,0.44,29.2,30.3,"Reef extends lower than site 1, tidal area small draining marsh 25m right",,SM
Glynn-Jointer Creek,JC3,31.05379,-81.46747,6/13/22,0,19,2.9,0.275,Above,19.4,13.5,20.8,0.3,29.9,29.8,"Spartina peninsula 10m wide w/ mud patches on either side, sponge on lower reef, lots of dead shell, reef on elevated mud, whip coral at waterline",Layer of dead shell at base of quadrat,SM
